"","match_id","player","pts","ptsWon","aces","ptsWonLte3Shots","wide","body","t","snvPts","snvPtsWon","nonSnvPts","nonSnvPtsWon"
"2480","19861109-M-Stockholm-F-Mats_Wilander-Stefan_Edberg",2,63,44,6,32,32,12,19,51,35,12,9
"2481","20180428-M-Budapest-SF-John_Millman-Aljaz_Bedene",1,110,65,3,23,39,38,33,0,0,0,0
"2482","20180428-M-Budapest-SF-John_Millman-Aljaz_Bedene",2,112,66,7,29,49,25,38,1,0,107,66
"2483","20090321-M-Indian_Wells_Masters-SF-Roger_Federer-Andy_Murray",1,74,42,3,22,33,16,25,6,3,68,39
"2484","20090321-M-Indian_Wells_Masters-SF-Roger_Federer-Andy_Murray",2,82,54,6,28,35,14,33,0,0,0,0
"2485","20180621-M-Queens_Club-R16-Novak_Djokovic-Grigor_Dimitrov",1,52,40,3,27,24,9,19,1,1,47,39
"2486","20180621-M-Queens_Club-R16-Novak_Djokovic-Grigor_Dimitrov",2,48,27,8,18,20,8,20,0,0,0,0
"2487","20180622-M-Queens_Club-QF-Novak_Djokovic-Adrian_Mannarino",1,55,40,6,22,25,7,23,9,9,44,31
"2488","20180622-M-Queens_Club-QF-Novak_Djokovic-Adrian_Mannarino",2,63,33,4,15,24,21,18,0,0,0,0
"2489","20180624-M-Halle-F-Borna_Coric-Roger_Federer",1,98,66,11,32,42,16,40,4,4,94,62
"2490","20180624-M-Halle-F-Borna_Coric-Roger_Federer",2,88,65,12,49,49,8,31,28,20,59,45
"2491","20180624-M-Queens_Club-F-Novak_Djokovic-Marin_Cilic",1,109,76,11,51,49,11,49,1,0,103,76
"2492","20180624-M-Queens_Club-F-Novak_Djokovic-Marin_Cilic",2,113,80,16,52,28,48,37,0,0,0,0
"2493","19901007-M-Sydney_Indoor-F-Boris_Becker-Stefan_Edberg",1,59,44,6,31,18,21,20,36,28,21,16
"2494","19901007-M-Sydney_Indoor-F-Boris_Becker-Stefan_Edberg",2,72,45,4,30,11,38,23,53,36,17,9
