"","match_id","date","player1","player2","tournament","court","surface"
"1599","20160225-M-Cherbourg_CH-R16-Ramkumar_Ramanathan-Adam_Pavlasek",2016-02-25,"Ramkumar Ramanathan","Adam Pavlasek","Cherbourg CH","Centre Court","Hard"
"1600","20160223-M-Cherbourg_CH-R32-Jurgen_Zopp-Jordan_Thompson",2016-02-23,"Jurgen Zopp","Jordan Thompson","Cherbourg CH","Centre Court","Hard"
"1601","20160220-M-Rio_de_Janeiro-SF-Dominic_Thiem-Guido_Pella",2016-02-20,"Dominic Thiem","Guido Pella","Rio de Janeiro","Quadra Central","Clay"
"1602","20160220-M-Marseille-SF-Tomas_Berdych-Nick_Kyrgios",2016-02-20,"Tomas Berdych","Nick Kyrgios","Marseille","Court Central","Hard (indoor)"
"1603","20160220-M-Marseille-QF-Stan_Wawrinka-Benoit_Paire",2016-02-20,"Stan Wawrinka","Benoit Paire","Marseille","Centre","Hard"
"1604","20160219-M-Wroclaw_CH-QF-Albano_Olivetti-Dustin_Brown",2016-02-19,"Albano Olivetti","Dustin Brown","Wroclaw CH","Center Court","Hard"
"1605","20160219-M-Marseille-QF-Richard_Gasquet-Nick_Kyrgios",2016-02-19,"Richard Gasquet","Nick Kyrgios","Marseille","Court Central","Hard"
"1606","20160219-M-Delray_Beach-QF-Juan_Martin_Del_Potro-Jeremy_Chardy",2016-02-19,"Juan Martin Del Potro","Jeremy Chardy","Delray Beach","","Hard"
"1607","20160218-M-Rio_de_Janeiro-R16-Inigo_Cervantes_Huegun-Alexandr_Dolgopolov",2016-02-18,"Inigo Cervantes Huegun","Alexandr Dolgopolov","Rio de Janeiro","Quadra Central","Clay"
"1608","20160216-M-Delray_Beach-R32-Juan_Martin_Del_Potro-Denis_Kudla",2016-02-16,"Juan Martin Del Potro","Denis Kudla","Delray Beach","","Hard"
"1609","20160214-M-Rotterdam-F-Gael_Monfils-Martin_Klizan",2016-02-14,"Gael Monfils","Martin Klizan","Rotterdam","Centre","Hard"
"1610","20160213-M-Buenos_Aires-SF-Rafael_Nadal-Dominic_Thiem",2016-02-13,"Rafael Nadal","Dominic Thiem","Buenos Aires","Court Central","Clay"
"1611","20160208-M-Rotterdam-R32-Thiemo_De_Bakker-Borna_Coric",2016-02-08,"Thiemo de Bakker","Borna Coric","Rotterdam","Centre Court","Indoor Hard"
"1612","20160206-M-Sofia-SF-Roberto_Bautista_Agut-Gilles_Muller",2016-02-06,"Roberto Bautista Agut","Gilles Muller","Sofia","Centre Court","Hard (indoor)"
"1613","20160205-M-Quito-QF-Bernard_Tomic-Paolo_Lorenzi",2016-02-05,"Bernard Tomic","Paolo Lorenzi","Quito","Cancha Central","Clay"
"1614","20160202-M-Sofia-R32-Marius_Copil-Hyeon_Chung",2016-02-02,"Marius Copil","Hyeon Chung","Sofia","Centre Court","Hard (indoor)"
"1615","20160202-M-Quito-R32-Guido_Pella-Victor_Estrella",2016-02-02,"Guido Pella","Victor Estrella","Quito","Cancha Central","Clay"
"1616","20160202-M-Dallas_CH-R32-Samuel_Groth-Frances_Tiafoe",2016-02-02,"Samuel Groth","Frances Tiafoe","Dallas CH","Stadium Court","Hard"
"1617","20160131-M-Australian_Open-F-Novak_Djokovic-Andy_Murray",2016-01-31,"Novak Djokovic","Andy Murray","Australian Open","Rod Laver Arena","Hard"
"1618","20160129-M-Australian_Open-SF-Andy_Murray-Milos_Raonic",2016-01-29,"Andy Murray","Milos Raonic","Australian Open","Rod Laver Arena","Hard"
"1619","20160128-M-Maui_CH-R16-Michael_Mmoh-Kyle_Edmund",2016-01-28,"Michael Mmoh","Kyle Edmund","Maui CH","Center","Hard"
"1620","20160128-M-Australian_Open-SF-Novak_Djokovic-Roger_Federer",2016-01-28,"Novak Djokovic","Roger Federer","Australian Open","Rod Laver Arena","Hard"
"1621","20160127-M-Australian_Open-QF-Milos_Raonic-Gael_Monfils",2016-01-27,"Milos Raonic","Gael Monfils","Australian Open","Rod Laver Arena","Hard"
"1622","20160126-M-Australian_Open-QF-Roger_Federer-Tomas_Berdych",2016-01-26,"Roger Federer","Tomas Berdych","Australian Open","Rod Laver Arena","Hard"
"1623","20160126-M-Australian_Open-QF-Novak_Djokovic-Kei_Nishikori",2016-01-26,"Novak Djokovic","Kei Nishikori","Australian Open","Rod Laver Arena","Hard"
"1624","20160125-M-Australian_Open-R16-Stan_Wawrinka-Milos_Raonic",2016-01-25,"Stan Wawrinka","Milos Raonic","Australian Open","Rod Laver Arena","Hard"
"1625","20160124-M-Australian_Open-R16-Novak_Djokovic-Gilles_Simon",2016-01-24,"Novak Djokovic","Gilles Simon","Australian Open","Rod Laver Arena","Hard"
"1626","20160123-M-Australian_Open-R32-Stan_Wawrinka-Lukas_Rosol",2016-01-23,"Stan Wawrinka","Lukas Rosol","Australian Open","","Hard"
"1627","20160122-M-Australian_Open-R32-Gilles_Simon-Federico_Delbonis",2016-01-22,"Gilles Simon","Federico Delbonis","Australian Open","","Hard"
"1628","20160120-M-Australian_Open-R64-Roger_Federer_-Alexandr_Dolgopolov",2016-01-20,"Roger Federer ","Alexandr Dolgopolov","Australian Open","Rod Laver Arena","Hard"
"1629","20160119-M-Australian_Open-R128-Rafael_Nadal-Fernando_Verdasco",2016-01-19,"Rafael Nadal","Fernando Verdasco","Australian Open","Rod Laver Arena","Hard"
"1630","20160118-M-Manila_CH-R32-Ruben_Gonzales-Igor_Sijsling",2016-01-18,"Ruben Gonzales","Igor Sijsling","Manila CH","","Hard"
"1631","20160116-M-Sydney-F-Viktor_Troicki-Grigor_Dimitrov",2016-01-16,"Viktor Troicki","Grigor Dimitrov","Sydney","Ken Rosewall Arena","Hard"
"1632","20160116-M-Chennai-F-Stan_Wawrinka-Borna_Coric",2016-01-16,"Stan Wawrinka","Borna Coric","Chennai","","Hard"
"1633","20160110-M-Doha-F-Novak_Djokovic-Rafael_Nadal",2016-01-10,"Novak Djokovic","Rafael Nadal","Doha","","Hard"
"1634","20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic",2016-01-10,"Roger Federer","Milos Raonic","Brisbane","Pat Rafter Arena","Hard"
"1635","20160109-M-Doha-SF-Novak_Djokovic-Tomas_Berdych",2016-01-09,"Novak Djokovic","Tomas Berdych","Doha","","Hard"
"1636","20160109-M-Brisbane-SF-Roger_Federer-Dominic_Thiem",2016-01-09,"Roger Federer","Dominic Thiem","Brisbane","Pat Rafter Arena","Hard"
"1637","20160109-M-Brisbane-SF-Milos_Raonic-Bernard_Tomic",2016-01-09,"Milos Raonic","Bernard Tomic","Brisbane","Pat Rafter Arena","Hard"
